Word,Meaning
manifesto,public declaration of principles; statement of policy
manifold,many in number or kind; numerous; varied
manipulate,"operate with one's hands; control or play upon (people, forces, etc.) artfully; maneuver; Ex. how to manipulate publicity and men; ADJ. manipulative"
mannered,affected; not natural; Ex. mannered way of speech
mannerism,distinctive behavioral trait; affected  style in art (according to a set of
mantle,loose sleeveless outer garment; cloak; something that covers or envelops; the layer of the eart h between the crust and the core
manumit,emancipate; free from slavery or bondage
mar,spoil the appearance of
maraud,move in search of plunder; Ex. marauding army
margin,border; room; allowance beyond what is needed; Ex. margin of safety
marginal,of a margin; barely within a limit; Ex. marginal effect/writing ability
marital,pertaining to marriage
maritime,bordering on(adjacent to) the sea; nautical; of the ships or the sea; Ex. Maritime Provinces
marked,noticeable; targeted for vengeance or attack; Ex. marked improvement/man
maroon,leave helpless on a deserted island or coast; ADJ. red brown
marred,damaged; disfigured; V. mar: spoil; disfigure
marrow,soft fatty tissue that fills most bone cavities and is the source of blood
marshal,put in order; guide ceremoniously to the correct place; Ex. marshal the children into the museum; N:  military officer; official
marsupial,"one of a family of mammals that nurse their offspring in a pouch(pocket of skin or leather) ; CF. kangaroo, opossum, wombat"
martial,warlike; of war; Ex. martial art/law
martinet,strict disciplinarian; person who demands total obedience to rules
martyr,one who voluntarily suffers death fo r his or her religion or cause;
mash,crush into mash; convert into mash; N: mixture of ground grain and
masochist,person who enjoys  his own pain; CF. masochism
mason,one who builds or works with stone or brick; N. masonry: work of a
masquerade,wear a mask or disguise; pretend; N: costume party or ball at which masks are worn; pretense; disguise
mass,Christian religious ceremony; CF . Mass: ceremony of the Eucharist
masticate,chew
mat,not shin y; matte; havin g a dull finish; N: flat piece of material used as
materialism,preoccupation with physical comforts and things; excessive regard for worldly concerns (rather than spiritual matters)
maternal,motherly; N. maternity: motherhood
matriarch,woman who rules a family or larger social group
matriculate,enroll (in college or graduate school); CF. matrix
matrimony,state of being married
matrix,point of origin; array of numbers or  algebraic symbols; mold or die;
maudlin,effusively sentimental
maul,handle roughly; batter; injure by beating; Ex. mauled by his
